Atendentes,Repeticoes,MediaClientesGerados,MediaThroughput,MediaTempoEsperaFila,IC95InferiorEsperaFila,IC95SuperiorEsperaFila,MaxTempoEsperaFilaObservado,MediaTempoAtendimento,MaxTempoAtendimentoObservado,MediaLeadTime,MediaPercentualClientesDentroMeta,CumpreMeta
1,300,261.05,95.35,6161.43,6116.45,6206.40,14409.00,74.91,120.00,6236.33,1.25,NAO
2,300,261.61,189.77,1316.86,1293.99,1339.73,4019.00,75.05,120.00,1391.91,5.64,NAO
3,300,261.63,257.54,34.81,32.32,37.30,455.00,75.08,120.00,109.89,93.95,SIM
4,300,261.03,258.24,2.55,2.41,2.69,131.00,75.02,120.00,77.58,100.00,SIM
5,300,261.51,258.71,0.31,0.28,0.34,79.00,74.97,120.00,75.28,100.00,SIM
6,300,261.48,258.71,0.03,0.03,0.04,51.00,75.15,120.00,75.18,100.00,SIM
7,300,261.82,259.16,0.00,0.00,0.01,22.00,74.96,120.00,74.96,100.00,SIM
8,300,261.44,258.76,0.00,-0.00,0.00,7.00,75.00,120.00,75.00,100.00,SIM
9,300,261.81,259.08,0.00,-0.00,0.00,1.00,74.98,120.00,74.98,100.00,SIM
10,300,261.50,258.85,0.00,0.00,0.00,0.00,74.98,120.00,74.98,100.00,SIM
11,300,261.83,259.06,0.00,0.00,0.00,0.00,75.03,120.00,75.03,100.00,SIM
12,300,261.80,259.04,0.00,0.00,0.00,0.00,74.97,120.00,74.97,100.00,SIM
13,300,261.23,258.51,0.00,0.00,0.00,0.00,74.94,120.00,74.94,100.00,SIM
14,300,261.67,258.94,0.00,0.00,0.00,0.00,74.97,120.00,74.97,100.00,SIM
15,300,261.46,258.75,0.00,0.00,0.00,0.00,74.79,120.00,74.79,100.00,SIM
16,300,261.89,259.08,0.00,0.00,0.00,0.00,75.06,120.00,75.06,100.00,SIM
17,300,261.92,259.31,0.00,0.00,0.00,0.00,75.08,120.00,75.08,100.00,SIM
18,300,260.80,258.08,0.00,0.00,0.00,0.00,75.06,120.00,75.06,100.00,SIM
19,300,261.55,258.86,0.00,0.00,0.00,0.00,74.92,120.00,74.92,100.00,SIM
20,300,261.70,259.01,0.00,0.00,0.00,0.00,74.93,120.00,74.93,100.00,SIM
